student_id,student_name,subjects,skills,interests,target_stream_id,target_broad_pathway,archetype
STU0001,Student_1,Applied Mathematics;Mathematics;Chemistry;Physics,Logical Thinking;Statistical Reasoning,Cybersecurity & Networks;Robotics & Automation;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0002,Student_2,Chemistry;Physics;Mathematics,Persuasion;System Architecture;Logical Thinking;Programming,Cybersecurity & Networks;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0003,Student_3,Mathematics;Applied Mathematics;Physics,Programming;Numerical Ability;Operations Management,Engineering;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0004,Student_4,Computer Science;Linguistics,Illustration;Numerical Ability;Logical Thinking;Problem Solving,Artificial Intelligence & Data;Robotics & Automation;Technology;Engineering,S01,Science,Engineering & Tech Aspirant
STU0005,Student_5,Applied Mathematics;Physics,System Architecture;Logical Thinking,Performing Arts & Theatre;Technology,S01,Science,Engineering & Tech Aspirant
STU0006,Student_6,Air Traffic Basics;Computer Science;Chemistry,System Architecture;Active Listening;Problem Solving;Numerical Ability,Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0007,Student_7,Applied Mathematics;German;Physics;Mathematics,Programming;System Architecture;Problem Solving;Numerical Ability,Engineering;Technology;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0008,Student_8,Physics;Mathematics;Computer Science;Applied Mathematics,Numerical Ability;Logical Thinking,Media & Communication;Technology,S01,Science,Engineering & Tech Aspirant
STU0009,Student_9,Computer Science;Physics;Mathematics,System Architecture;Programming;Problem Solving;Logical Thinking,Cybersecurity & Networks;Engineering;Robotics & Automation;Technology,S01,Science,Engineering & Tech Aspirant
STU0010,Student_10,Physics;Computer Science;Chemistry;Mathematics,Numerical Ability;Problem Solving,Engineering;Technology;Cybersecurity & Networks,S08,Other,Engineering & Tech Aspirant
STU0011,Student_11,Mathematics;Applied Mathematics;Chemistry;Computer Science,Spatial Awareness;System Architecture;Problem Solving,Engineering;Technology,S01,Science,Engineering & Tech Aspirant
STU0012,Student_12,Computer Science;Chemistry;Physics,Numerical Ability;Programming,Cybersecurity & Networks;Technology;Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0013,Student_13,Chemistry;Mathematics;Applied Mathematics,Spatial Aesthetics;Logical Thinking,Technology;Cybersecurity & Networks;Robotics & Automation;Engineering,S01,Science,Engineering & Tech Aspirant
STU0014,Student_14,Applied Mathematics;Physics;Computer Science,Programming;Numerical Ability;Problem Solving;System Architecture,Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0015,Student_15,Mathematics;Physics;Computer Science,Creativity;Numerical Ability,Engineering;Technology,S01,Science,Engineering & Tech Aspirant
STU0016,Student_16,Chemistry;Computer Science;Mathematics;Applied Mathematics,Problem Solving;System Architecture,Engineering;Cybersecurity & Networks;Architecture & Built Environment;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0017,Student_17,Applied Mathematics;Physics;Mathematics;Computer Science,System Architecture;Numerical Ability;Programming,Technology;Cybersecurity & Networks;Artificial Intelligence & Data;Robotics & Automation,S08,Other,Engineering & Tech Aspirant
STU0018,Student_18,Mathematics;Chemistry,System Architecture;Logical Thinking;Numerical Ability,Engineering;Artificial Intelligence & Data,S12,Humanities,Engineering & Tech Aspirant
STU0019,Student_19,Physics;Chemistry;Accountancy;Computer Science,System Architecture;Problem Solving;Numerical Ability;Logical Thinking,Robotics & Automation;Philosophy & Ethics;Engineering;Technology,S01,Science,Engineering & Tech Aspirant
STU0020,Student_20,Renewable Energy Technology;Computer Science;Applied Mathematics,Logical Thinking;Numerical Ability;Project Management,Technology;Robotics & Automation;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
