course_id,career_id
C001,CAR001
C001,CAR002
C001,CAR003
C001,CAR008
C001,CAR006
C002,CAR001
C002,CAR009
C002,CAR010
C002,CAR007
C002,CAR004
C003,CAR002
C003,CAR044
C003,CAR038
C003,CAR014
C003,CAR012
C004,CAR012
C004,CAR013
C004,CAR066
C004,CAR015
C004,CAR019
C005,CAR013
C005,CAR012
C005,CAR014
C005,CAR082
C005,CAR017
C006,CAR006
C006,CAR002
C006,CAR001
C006,CAR011
C006,CAR004
C007,CAR025
C007,CAR026
C007,CAR021
C007,CAR024
C007,CAR032
C008,CAR029
C008,CAR021
C008,CAR035
C008,CAR028
C008,CAR032
C009,CAR034
C009,CAR024
C009,CAR027
C009,CAR035
C009,CAR021
C010,CAR084
C010,CAR018
C010,CAR083
C010,CAR026
C010,CAR032
C011,CAR021
C011,CAR017
C011,CAR025
C011,CAR012
C011,CAR024
C012,CAR002
C012,CAR006
C012,CAR017
C012,CAR025
C012,CAR001
C013,CAR056
C013,CAR044
C013,CAR038
C013,CAR032
C013,CAR021
C014,CAR036
C014,CAR037
C014,CAR038
C014,CAR044
C014,CAR050
C015,CAR036
C015,CAR037
C015,CAR038
C015,CAR044
C015,CAR050
C016,CAR002
C016,CAR038
C016,CAR044
C016,CAR036
C016,CAR046
C017,CAR056
C017,CAR037
C017,CAR038
C017,CAR049
C017,CAR050
C018,CAR041
C018,CAR042
C018,CAR046
C018,CAR047
C018,CAR043
C019,CAR041
C019,CAR047
C019,CAR048
C019,CAR046
C019,CAR075
C020,CAR045
C020,CAR051
C020,CAR042
C020,CAR055
C020,CAR046
C021,CAR043
C021,CAR047
C021,CAR041
C021,CAR046
C021,CAR080
C022,CAR057
C022,CAR056
C022,CAR053
C022,CAR055
C022,CAR060
C023,CAR029
C023,CAR057
C023,CAR060
C023,CAR042
C023,CAR055
C024,CAR056
C024,CAR058
C024,CAR059
C024,CAR053
C024,CAR055
C025,CAR058
C025,CAR061
C025,CAR071
C025,CAR062
C025,CAR075
C026,CAR061
C026,CAR054
C026,CAR071
C026,CAR048
C026,CAR062
C027,CAR064
C027,CAR065
C027,CAR067
C027,CAR066
C027,CAR076
C028,CAR072
C028,CAR073
C028,CAR065
C028,CAR074
C028,CAR064
C029,CAR068
C029,CAR064
C029,CAR067
C029,CAR076
C029,CAR047
C030,CAR008
C030,CAR001
C030,CAR007
C030,CAR010
C030,CAR003
C031,CAR020
C031,CAR014
C031,CAR011
C031,CAR012
C031,CAR019
C032,CAR019
C032,CAR012
C032,CAR020
C032,CAR013
C032,CAR015
C033,CAR083
C033,CAR084
C033,CAR026
C033,CAR025
C033,CAR018
C034,CAR083
C034,CAR084
C034,CAR046
C034,CAR043
C034,CAR047
C035,CAR051
C035,CAR052
C035,CAR045
C035,CAR053
C035,CAR055
C036,CAR045
C036,CAR051
C036,CAR036
C036,CAR055
C036,CAR053
C037,CAR033
C037,CAR030
C037,CAR027
C037,CAR024
C037,CAR028
C038,CAR028
C038,CAR035
C038,CAR082
C038,CAR027
C038,CAR033
C039,CAR071
C039,CAR075
C039,CAR048
C039,CAR069
C039,CAR070
C040,CAR069
C040,CAR070
C040,CAR074
C040,CAR075
C040,CAR072
C041,CAR029
C041,CAR021
C041,CAR035
C041,CAR028
C041,CAR032
C042,CAR001
C042,CAR009
