career_id,career_name,domain,related_interests,useful_skills
CAR001,Software Engineer,Technology,Technology;Engineering,Logical Thinking;Problem Solving;Programming
CAR002,Data Scientist,Technology,Artificial Intelligence & Data;Mathematics & Statistics,Statistical Reasoning;Machine Learning Pipeline;Analytical Thinking
CAR003,Cybersecurity Analyst,Technology,Cybersecurity & Networks;Technology,Troubleshooting & Debugging;Network Engineering;Attention to Detail
CAR004,Cloud Solutions Architect,Technology,Technology;Engineering,Cloud Infrastructure;System Architecture;Logical Thinking
CAR005,DevOps Engineer,Technology,Technology;Engineering,System Administration;Troubleshooting & Debugging;Programming
CAR006,AI / ML Research Engineer,Technology,Artificial Intelligence & Data;Technology,Machine Learning Pipeline;Statistical Reasoning;Algorithmic Thinking
CAR007,Mobile App Developer,Technology,Technology;Design & Visual Arts,Programming;UI/UX Prototyping;Problem Solving
CAR008,Full-Stack Web Developer,Technology,Technology,Programming;Database Management;Problem Solving
CAR009,Database Administrator,Technology,Technology;Mathematics & Statistics,Database Management;Attention to Detail;Troubleshooting & Debugging
CAR010,Computer Systems Analyst,Technology,Technology;Business & Entrepreneurship,Analytical Thinking;Communication;System Architecture
CAR011,Robotics Engineer,Engineering,Robotics & Automation;Engineering,Robotics Programming;Circuit Design;Problem Solving
CAR012,Mechanical Engineer,Engineering,Engineering,CAD Modeling;Spatial Awareness;Problem Solving
CAR013,Civil Engineer,Engineering,Engineering;Architecture & Built Environment,CAD Modeling;Quantitative Modeling;Project Management
CAR014,Electrical Engineer,Engineering,Engineering;Technology,Circuit Design;Troubleshooting & Debugging;Logical Thinking
CAR015,Aerospace Engineer,Engineering,Aviation & Aerospace;Engineering,Quantitative Modeling;Spatial Awareness;Problem Solving
CAR016,Chemical Engineer,Engineering,Engineering;Science & Research,Diagnostic Acumen;Analytical Thinking;Problem Solving
CAR017,Biomedical Engineer,Engineering,Engineering;Medicine & Healthcare,Diagnostic Acumen;Design Thinking;Circuit Design
CAR018,Environmental Engineer,Engineering,Environmental Studies & Sustainability;Engineering,Quantitative Modeling;Research;Problem Solving
CAR019,Automotive Engineer,Engineering,Engineering,CAD Modeling;Troubleshooting & Debugging;System Architecture
CAR020,Mechatronics Specialist,Engineering,Robotics & Automation;Engineering,Robotics Programming;Circuit Design;Problem Solving
CAR021,Doctor / Physician,Healthcare,Medicine & Healthcare;Science & Research,Diagnostic Acumen;Observation;Empathy;Decision Making
CAR022,Surgeon,Healthcare,Medicine & Healthcare,Attention to Detail;Decision Making;Diagnostic Acumen
CAR023,Dentist,Healthcare,Dentistry;Medicine & Healthcare,Attention to Detail;Observation;Customer Relations
CAR024,Pharmacist,Healthcare,Pharmacy & Pharmacology;Chemistry,Attention to Detail;Research;Customer Relations
CAR025,Biotechnologist,Science,Biotechnology & Genetics;Science & Research,Research;Hypothesis Testing;Observation
CAR026,Microbiologist,Science,Science & Research;Medicine & Healthcare,Observation;Research;Attention to Detail
CAR027,Registered Nurse,Healthcare,Nursing & Patient Care;Medicine & Healthcare,Empathy;Active Listening;Attention to Detail;Teamwork
CAR028,Physiotherapist,Healthcare,Sports & Athletic Training;Medicine & Healthcare,Empathy;Diagnostic Acumen;Observation
CAR029,Clinical Psychologist,Healthcare,Psychology;Mental Health & Wellbeing,Empathy;Active Listening;Interviewing;Critical Evaluation
CAR030,Radiologist,Healthcare,Medicine & Healthcare;Technology,Diagnostic Acumen;Observation;Attention to Detail
