stream_id,skill_id,interest_id,weight
S04,SK032,I045,0.62
S05,SK033,I024,0.96
S02,SK060,I027,0.67
S05,SK001,I032,0.9
S01,SK049,I044,0.9
S09,SK002,I014,0.96
S02,SK045,I028,0.98
S03,SK071,I001,0.83
S04,SK054,I034,0.69
S04,SK069,I041,0.87
S06,SK028,I022,0.96
S12,SK046,I059,0.81
S12,SK046,I037,0.8
S01,SK059,I009,0.91
S11,SK060,I015,0.91
S03,SK058,I059,0.8
S09,SK015,I004,0.92
S12,SK066,I013,0.9
S07,SK020,I012,0.93
S09,SK076,I047,0.87
S10,SK039,I018,0.81
S06,SK061,I033,0.7
S12,SK031,I032,0.86
S01,SK055,I006,0.95
S02,SK002,I046,0.83
S08,SK041,I012,0.85
S09,SK068,I022,0.75
S03,SK052,I018,0.82
S06,SK044,I046,0.68
S09,SK062,I004,0.63
S08,SK044,I051,0.75
S12,SK037,I050,0.96
S02,SK054,I017,0.93
S05,SK041,I010,0.8
S04,SK048,I043,0.96
S10,SK018,I020,0.76
S12,SK002,I024,0.96
S04,SK010,I010,0.9
S02,SK047,I041,0.94
S08,SK044,I035,0.77
S08,SK032,I003,0.84
S06,SK033,I047,0.93
S08,SK043,I019,0.8
S03,SK017,I019,0.79
S12,SK040,I047,0.88
S06,SK072,I044,0.78
S10,SK010,I053,0.87
S03,SK041,I041,0.62
S08,SK062,I021,0.96
S05,SK059,I054,0.88
S04,SK045,I021,0.66
S08,SK070,I034,0.81
S07,SK004,I032,0.94
S06,SK053,I024,0.87
S08,SK005,I059,0.95
S01,SK012,I004,0.68
S02,SK062,I018,0.89
S05,SK014,I047,0.6
S03,SK026,I028,0.69
S03,SK073,I059,0.75
S10,SK005,I012,0.81
S10,SK070,I012,0.87
S10,SK071,I002,0.96
S04,SK051,I055,0.92
S12,SK010,I034,0.94
S02,SK009,I050,0.97
S02,SK039,I055,0.88
S09,SK008,I030,0.69
S10,SK009,I011,0.79
S06,SK013,I033,0.9
S12,SK053,I059,0.67
S07,SK036,I016,0.97
S10,SK002,I014,0.82
S02,SK049,I021,0.72
S04,SK069,I025,0.96
S06,SK068,I027,0.97
S11,SK034,I015,0.82
S10,SK049,I028,0.71
S07,SK031,I050,0.86
S04,SK027,I005,0.92
S12,SK006,I014,0.89
S07,SK037,I045,0.95
S06,SK031,I029,0.85
S02,SK049,I022,0.66
S03,SK061,I016,0.8
S07,SK045,I026,0.69
S05,SK048,I052,0.69
S09,SK069,I026,0.82
S04,SK058,I033,0.72
S03,SK053,I045,0.81
S11,SK048,I036,0.83
S05,SK075,I029,0.87
S08,SK074,I057,0.68
S03,SK015,I030,0.96
S05,SK065,I005,0.75
S04,SK025,I008,0.96
S09,SK012,I058,0.82
S03,SK012,I015,0.97
S11,SK070,I053,0.9
S10,SK014,I010,0.64
S09,SK053,I010,0.75
S12,SK013,I009,0.97
S01,SK027,I046,0.76
S06,SK051,I033,0.62
S01,SK034,I033,0.81
S09,SK003,I025,0.87
S02,SK006,I049,0.66
S12,SK008,I020,0.87
S07,SK055,I011,0.88
S01,SK075,I039,0.87
S01,SK041,I028,0.85
S02,SK023,I047,0.82
S12,SK005,I033,0.8
S04,SK029,I056,0.87
S06,SK053,I017,0.73
S06,SK018,I010,0.68
S07,SK050,I056,0.85
S02,SK007,I023,0.72
S10,SK056,I052,0.96
S09,SK038,I010,0.71
S02,SK071,I019,0.88
S05,SK071,I047,0.94
S01,SK026,I024,0.79
S07,SK042,I046,0.72
S02,SK018,I008,0.6
S01,SK026,I010,0.66
S04,SK023,I017,0.67
S06,SK019,I019,0.79
S04,SK063,I056,0.83
S02,SK037,I002,0.74
S03,SK020,I032,0.97
S04,SK043,I055,0.87
S06,SK023,I054,0.91
S10,SK067,I051,0.75
S01,SK017,I041,0.97
S12,SK008,I051,0.78
S09,SK008,I009,0.82
S12,SK039,I009,0.78
S12,SK031,I032,0.78
S07,SK040,I032,0.66
S05,SK012,I040,0.85
S01,SK071,I009,0.71
S09,SK045,I042,0.87
S12,SK035,I021,0.92
S09,SK028,I049,0.94
S12,SK022,I004,0.78
S09,SK054,I030,0.84
S03,SK053,I056,0.87
S03,SK027,I045,0.84
S11,SK032,I015,0.84
S01,SK020,I035,0.66
S05,SK011,I057,0.67
S03,SK023,I031,0.82
S02,SK044,I039,0.94
S02,SK066,I047,0.82
S10,SK043,I037,0.97
S12,SK071,I016,0.63
S11,SK059,I051,0.72
S08,SK002,I051,0.85
S01,SK032,I003,0.77
S08,SK061,I031,0.86
