course_id,career_id
C014,CAR111
C022,CAR169
C027,CAR002
C082,CAR190
C040,CAR176
C013,CAR145
C057,CAR143
C011,CAR029
C065,CAR190
C049,CAR193
C004,CAR186
C031,CAR069
C054,CAR162
C086,CAR165
C103,CAR142
C050,CAR122
C071,CAR002
C018,CAR081
C046,CAR199
C048,CAR107
C101,CAR105
C087,CAR107
C055,CAR180
C088,CAR181
C041,CAR052
C043,CAR020
C065,CAR132
C002,CAR042
C067,CAR138
C009,CAR027
C013,CAR148
C014,CAR180
C091,CAR056
C086,CAR155
C038,CAR177
C005,CAR013
C047,CAR182
C070,CAR178
C093,CAR018
C087,CAR124
C022,CAR030
C104,CAR003
C086,CAR102
C091,CAR073
C053,CAR032
C070,CAR094
C072,CAR092
C031,CAR116
C059,CAR165
C074,CAR161
C097,CAR096
C038,CAR092
C084,CAR133
C058,CAR162
C011,CAR027
C039,CAR003
C084,CAR058
C074,CAR068
C039,CAR100
C068,CAR026
C015,CAR014
C047,CAR106
C049,CAR076
C014,CAR064
C030,CAR064
C079,CAR132
C004,CAR066
C060,CAR075
C099,CAR073
C049,CAR149
C048,CAR057
C062,CAR140
C104,CAR124
C031,CAR132
C096,CAR193
C069,CAR026
C018,CAR115
C082,CAR167
C015,CAR003
C002,CAR004
C005,CAR075
C072,CAR066
C058,CAR116
C076,CAR142
C095,CAR156
C045,CAR042
C003,CAR024
C045,CAR011
C019,CAR027
C063,CAR032
C059,CAR162
C015,CAR174
C025,CAR056
C061,CAR098
C096,CAR088
C097,CAR087
C052,CAR133
C024,CAR028
C088,CAR063
C034,CAR178
C070,CAR146
C072,CAR119
C033,CAR167
C075,CAR197
C095,CAR158
C093,CAR176
C044,CAR045
C054,CAR043
C022,CAR122
C031,CAR068
C092,CAR154
C005,CAR076
C021,CAR014
C084,CAR065
C037,CAR114
C035,CAR150
C038,CAR116
C025,CAR031
C076,CAR101
C040,CAR179
C078,CAR050
C064,CAR011
C061,CAR102
C091,CAR022
C076,CAR168
C095,CAR010
C029,CAR169
C030,CAR156
C023,CAR169
C084,CAR020
C047,CAR019
C079,CAR169
C036,CAR098
C029,CAR149
C025,CAR128
C017,CAR097
C098,CAR197
C003,CAR039
C012,CAR174
C001,CAR024
C041,CAR200
C077,CAR151
C047,CAR103
C002,CAR076
C087,CAR185
C096,CAR021
C031,CAR076
C037,CAR042
C058,CAR105
C009,CAR034
C056,CAR019
C099,CAR022
C084,CAR104
C074,CAR071
C030,CAR071
C052,CAR096
C004,CAR026
C078,CAR158
C033,CAR160
C074,CAR138
C048,CAR130
C093,CAR152
C063,CAR047
C100,CAR105
C100,CAR049
C019,CAR010
C043,CAR046
C091,CAR069
C047,CAR141
C025,CAR051
C068,CAR033
C036,CAR014
C042,CAR163
C011,CAR098
C029,CAR027
C011,CAR034
C060,CAR012
C077,CAR075
C099,CAR066
C102,CAR110
C104,CAR143
C096,CAR199
C088,CAR012
C087,CAR173
C025,CAR157
C082,CAR071
C008,CAR103
C037,CAR175
C036,CAR102
C013,CAR133
C039,CAR058
C013,CAR058
C019,CAR005
C013,CAR185
C036,CAR028
C081,CAR095
C023,CAR118
C077,CAR058
C062,CAR192
C014,CAR144
C029,CAR156
C038,CAR193
C037,CAR183
C087,CAR170
C034,CAR048
C076,CAR153
C073,CAR166
C086,CAR048
C081,CAR172
C006,CAR110
C007,CAR044
C014,CAR031
C022,CAR154
C072,CAR123
C018,CAR147
C052,CAR087
C034,CAR083
C071,CAR190
C048,CAR021
C092,CAR047
C057,CAR079
C010,CAR157
C040,CAR081
C052,CAR007
C026,CAR151
C020,CAR001
C024,CAR043
C035,CAR107
C046,CAR078
C075,CAR152
C039,CAR173
C044,CAR110
C069,CAR073
C012,CAR113
C060,CAR150
C012,CAR141
C050,CAR193
C098,CAR139
C102,CAR040
C051,CAR160
C021,CAR023
C041,CAR004
C052,CAR073
C037,CAR193
C038,CAR076
C024,CAR185
C046,CAR084
C027,CAR035
C094,CAR097
C080,CAR125
C041,CAR142
C010,CAR200
C053,CAR050
C077,CAR015
C019,CAR121
C103,CAR194
C043,CAR175
C051,CAR030
C011,CAR124
C026,CAR049
C057,CAR046
C036,CAR134
C071,CAR110
C001,CAR092
C093,CAR043
C074,CAR051
C044,CAR059
C086,CAR055
C007,CAR102
C100,CAR118
C056,CAR040
C054,CAR137
C053,CAR012
C022,CAR116
C053,CAR115
C085,CAR124
C048,CAR024
C015,CAR170
C062,CAR076
C078,CAR176
C048,CAR159
C041,CAR127
C077,CAR129
C074,CAR148
C028,CAR200
C036,CAR038
C038,CAR027
C067,CAR075
C027,CAR059
C087,CAR085
C037,CAR016
C016,CAR126
C067,CAR193
C080,CAR188
C022,CAR094
C089,CAR147
C066,CAR172
C068,CAR092
C048,CAR018
C071,CAR064
C081,CAR093
C021,CAR058
C103,CAR102
C014,CAR025
C060,CAR176
C078,CAR003
C087,CAR131
C003,CAR023
C046,CAR161
C033,CAR182
C079,CAR044
C090,CAR145
C028,CAR124
C088,CAR106
C012,CAR017
C020,CAR078
C024,CAR096
C035,CAR047
C013,CAR087
C009,CAR179
C034,CAR159
C007,CAR042
C066,CAR030
C098,CAR190
C068,CAR125
C037,CAR015
C027,CAR169
C035,CAR192
C099,CAR123
C072,CAR071
C016,CAR041
C060,CAR028
C077,CAR024
C079,CAR145
C057,CAR019
C052,CAR198
C012,CAR081
C101,CAR057
C034,CAR018
C056,CAR118
C076,CAR140
C101,CAR134
C102,CAR138
C072,CAR093
C009,CAR043
C032,CAR141
C069,CAR125
C096,CAR163
C038,CAR158
C039,CAR061
C039,CAR131
C046,CAR040
C058,CAR005
C090,CAR154
C097,CAR110
C010,CAR047
C023,CAR001
C045,CAR150
C061,CAR170
C036,CAR058
C014,CAR089
C017,CAR165
C064,CAR138
C068,CAR196
C025,CAR105
C010,CAR142
C084,CAR089
C025,CAR049
C077,CAR131
C024,CAR191
C052,CAR139
C038,CAR009
C098,CAR035
C076,CAR121
C013,CAR197
C017,CAR148
C028,CAR013
C032,CAR180
C005,CAR174
C098,CAR090
C050,CAR115
C068,CAR164
C033,CAR054
C029,CAR100
C088,CAR152
C030,CAR178
C070,CAR046
C103,CAR094
C085,CAR043
C072,CAR150
C027,CAR118
C097,CAR167
C009,CAR016
C049,CAR136
C047,CAR144
C102,CAR150
C062,CAR137
C010,CAR146
C022,CAR048
C100,CAR140
C098,CAR059
C060,CAR078
C104,CAR079
C019,CAR043
C035,CAR173
C079,CAR189
C034,CAR091
C018,CAR169
C040,CAR171
C002,CAR124
C003,CAR172
C089,CAR035
C057,CAR059
C094,CAR005
C033,CAR089
C004,CAR165
C051,CAR165
C100,CAR148
C002,CAR189
C097,CAR095
C031,CAR189
C015,CAR039
C087,CAR054
C075,CAR055
C008,CAR099
C013,CAR186
C059,CAR194
C080,CAR017
C002,CAR011
C019,CAR143
C053,CAR022
C052,CAR019
C058,CAR100
C092,CAR131
C053,CAR125
C053,CAR025
C029,CAR178
C081,CAR100
C032,CAR081
C078,CAR043
C044,CAR031
C102,CAR145
C021,CAR085
C042,CAR166
C092,CAR150
C016,CAR127
C094,CAR034
C065,CAR192
C016,CAR193
C092,CAR197
C104,CAR046
C034,CAR195
C034,CAR045
C093,CAR099
C034,CAR046
C091,CAR018
C076,CAR094
C084,CAR167
C052,CAR132
C004,CAR200
C090,CAR047
C102,CAR148
C025,CAR118
C047,CAR092
C067,CAR018
C103,CAR133
C040,CAR074
C047,CAR157
C060,CAR180
C103,CAR143
C015,CAR157
C045,CAR174
C021,CAR144
C075,CAR104
C018,CAR118
C021,CAR197
C082,CAR127
C017,CAR013
C075,CAR008
C096,CAR180
C047,CAR062
C073,CAR142
C003,CAR033
C084,CAR168
C026,CAR194
C081,CAR011
C095,CAR129
C101,CAR081
C063,CAR003
C027,CAR128
C084,CAR097
C102,CAR028
C016,CAR130
C079,CAR179
C030,CAR130
C047,CAR147
C085,CAR129
C077,CAR112
C049,CAR170
C057,CAR065
C005,CAR026
C031,CAR192
C083,CAR045
C040,CAR089
C094,CAR028
C091,CAR044
C068,CAR168
C090,CAR067
C016,CAR083
C051,CAR011
C030,CAR083
C034,CAR057
C104,CAR089
C063,CAR174
C077,CAR188
C023,CAR075
C095,CAR115
C029,CAR193
C085,CAR020
C049,CAR055
C041,CAR177
C092,CAR106
C035,CAR137
C024,CAR147
C013,CAR134
