subject_id,subject_name
SUB001,Mathematics
SUB002,Physics
SUB003,Chemistry
SUB004,Biology
SUB005,Computer Science
SUB006,Accountancy
SUB007,Economics
SUB008,Business Studies
SUB009,History
SUB010,Political Science
SUB011,Geography
SUB012,Psychology
SUB013,Sociology
SUB014,English Language & Literature
SUB015,Fine Arts
SUB016,Applied Mathematics
SUB017,Informatics Practices
SUB018,Legal Studies
SUB019,Mass Media Studies
SUB020,Biotechnology
SUB021,Physical Education
SUB022,Entrepreneurship
SUB023,Statistics
SUB024,Commercial Arts
SUB025,Graphic Design
SUB026,Home Science
SUB027,Philosophy
SUB028,Music (Vocal)
SUB029,Music (Instrumental)
SUB030,Dance
SUB031,Theatre & Drama
SUB032,French
SUB033,German
SUB034,Spanish
SUB035,Sanskrit
SUB036,Hindi Literature
SUB037,Environmental Science
SUB038,Engineering Graphics
SUB039,Geology
SUB040,Fashion Studies
SUB041,Agriculture
SUB042,Food Production
SUB043,Tourism Studies
SUB044,Banking & Insurance
SUB045,Marketing & Sales
SUB046,Artificial Intelligence
SUB047,Data Science
SUB048,Web Development
SUB049,Robotics
SUB050,Electronics
SUB051,Microbiology
SUB052,Biochemistry
SUB053,Human Rights & Gender Studies
SUB054,Heritage Crafts
SUB055,Library & Information Science
SUB056,Painting
SUB057,Sculpture
SUB058,Applied Philosophy
SUB059,Public Administration
SUB060,International Relations
SUB061,Anthropology
SUB062,Archaeology
SUB063,Creative Writing
SUB064,Linguistics
SUB065,Business Mathematics
SUB066,Cost Accounting
SUB067,Corporate Governance
SUB068,Supply Chain Management
SUB069,Retail Operations
SUB070,E-Commerce
SUB071,Digital Photography
SUB072,Sound Engineering
SUB073,Film Studies
SUB074,Animation & VFX
SUB075,Game Design
SUB076,Nutrition & Dietetics
SUB077,Community Health
SUB078,Physiotherapy Basics
SUB079,Forensic Science
SUB080,Meteorology
SUB081,Astronomy
SUB082,Marine Biology
SUB083,Ecology & Conservation
SUB084,Renewable Energy Technology
SUB085,Automobile Technology
SUB086,Civil Construction Basics
SUB087,Electrical Systems
SUB088,Carpentry & Joinery
SUB089,Drafting & Modeling
SUB090,Medical Diagnostics
SUB091,Early Childhood Care
SUB092,Special Education Needs
SUB093,Culinary Arts
SUB094,Event Management
SUB095,Aviation Ground Operations
SUB096,Air Traffic Basics
SUB097,Maritime Studies
SUB098,Logistics Operations
SUB099,Textile Design
SUB100,Interior Design
SUB101,Urban Planning Basics
SUB102,Cybersecurity Basics
SUB103,Cloud Computing
SUB104,Mobile Application Development
SUB105,Taxation Principles
