student_id,student_name,subjects,skills,interests,target_stream_id,target_broad_pathway,archetype
STU0001,Student_1,Chemistry;Physics;Mathematics;Applied Mathematics,Logical Thinking;System Architecture,Robotics & Automation;Cybersecurity & Networks;Biotechnology & Genetics,S01,Science,Engineering & Tech Aspirant
STU0002,Student_2,Mathematics;Physics,System Architecture;Programming;Logical Thinking;Problem Solving,Robotics & Automation;Artificial Intelligence & Data;Technology;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0003,Student_3,Physics;Chemistry;Mathematics,Logical Thinking;Programming;System Architecture,Artificial Intelligence & Data;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0004,Student_4,Applied Mathematics;Mathematics,Programming;Logical Thinking;Numerical Ability;Problem Solving,Robotics & Automation;Artificial Intelligence & Data;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0005,Student_5,Physics;Chemistry,Logical Thinking;Problem Solving,Technology;Cybersecurity & Networks;Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0006,Student_6,Chemistry;Physics;Applied Mathematics,Numerical Ability;Logical Thinking,Robotics & Automation;Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0007,Student_7,Chemistry;Physics,Numerical Ability;Logical Thinking;Programming,Technology;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0008,Student_8,Chemistry;Physics,Programming;System Architecture;Numerical Ability;Problem Solving,Engineering;Artificial Intelligence & Data;Technology;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0009,Student_9,Applied Mathematics;Computer Science;Chemistry;Physics,Numerical Ability;Problem Solving;Logical Thinking,Robotics & Automation;Cybersecurity & Networks;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0010,Student_10,Computer Science;Mathematics,Programming;System Architecture;Numerical Ability;Problem Solving,Robotics & Automation;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0011,Student_11,Mathematics;Chemistry,Numerical Ability;Logical Thinking;Problem Solving;System Architecture,Engineering;Cybersecurity & Networks;Technology;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
