course_id,course_name,stream_id,typical_subjects
C001,Science - PCM with Computer Science,S01,Mathematics; Physics; Chemistry; Computer Science
C002,Science - PCM with Informatics Practices,S01,Mathematics; Physics; Chemistry; Informatics Practices
C003,Science - PCM with Applied Mathematics,S01,Applied Mathematics; Physics; Chemistry; Computer Science
C004,Science - PCM with Engineering Graphics,S01,Mathematics; Physics; Chemistry; Engineering Graphics
C005,Science - PCM with Physical Education,S01,Mathematics; Physics; Chemistry; Physical Education
C006,Science - PCM with Artificial Intelligence,S01,Mathematics; Physics; Chemistry; Artificial Intelligence
C007,Science - PCB with Biotechnology,S02,Biology; Chemistry; Physics; Biotechnology
C008,Science - PCB with Psychology,S02,Biology; Chemistry; Physics; Psychology
C009,Science - PCB with Home Science,S02,Biology; Chemistry; Physics; Home Science
C010,Science - PCB with Environmental Science,S02,Biology; Chemistry; Physics; Environmental Science
C011,Science - PCMB General,S03,Biology; Chemistry; Physics; Mathematics
C012,Science - PCMB with Computer Science,S03,Biology; Chemistry; Physics; Mathematics; Computer Science
C013,Science - PCMB with Economics,S03,Biology; Chemistry; Physics; Mathematics; Economics
C014,Commerce with Core Mathematics,S04,Accountancy; Economics; Business Studies; Mathematics
C015,Commerce with Applied Mathematics,S04,Accountancy; Economics; Business Studies; Applied Mathematics
C016,Commerce with Statistics & Informatics,S04,Accountancy; Economics; Statistics; Informatics Practices
C017,Commerce with Economics & Financial Markets,S04,Accountancy; Economics; Banking & Insurance; Applied Mathematics
C018,Commerce General without Math,S05,Accountancy; Economics; Business Studies; Entrepreneurship
C019,Commerce with Marketing & Sales,S05,Accountancy; Business Studies; Marketing & Sales; English Language & Literature
C020,Commerce with Legal Studies,S05,Accountancy; Business Studies; Legal Studies; Economics
C021,Commerce with Retail Operations,S05,Accountancy; Business Studies; Retail Operations; E-Commerce
C022,Humanities - Core Social Sciences,S06,History; Political Science; Geography; English Language & Literature
C023,Humanities with Psychology & Sociology,S06,Psychology; Sociology; Political Science; English Language & Literature
C024,Humanities with Economics & History,S06,Economics; History; Political Science; English Language & Literature
C025,Humanities with Philosophy & Literature,S06,Philosophy; History; English Language & Literature; Sociology
C026,Humanities with Foreign Languages,S06,French; German; History; Political Science
C027,Applied Arts - Visual Arts & Design,S07,Fine Arts; Commercial Arts; Graphic Design; English Language & Literature
C028,Applied Arts - Digital Animation & VFX,S07,Animation & VFX; Graphic Design; Computer Science; Fine Arts
C029,Applied Arts - Fashion & Textile Design,S07,Fashion Studies; Textile Design; Fine Arts; Entrepreneurship
C030,Vocational - Software & Web Development,S08,Computer Science; Web Development; Applied Mathematics; English Language & Literature
C031,Vocational - Electronics & Mechatronics,S08,Electronics; Robotics; Applied Mathematics; Physics
C032,Vocational - Automobile & Mechanical,S08,Automobile Technology; Engineering Graphics; Applied Mathematics; Physics
C033,Agriculture - Agronomy & Horticulture,S09,Agriculture; Biology; Chemistry; Environmental Science
